epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2943.97,0.58804,0.37893,0.92663,0.99729,0.99649,0.99389,0.85824,0.74013,0.36766,1.06218,5.616e-05,5.616e-05,5.616e-05
42,3013.8,0.58286,0.36558,0.92514,0.99722,0.99626,0.99375,0.85967,0.74052,0.37067,1.06002,5.0814e-05,5.0814e-05,5.0814e-05
43,3080.36,0.5811,0.3608,0.92392,0.9973,0.99696,0.9938,0.85906,0.73191,0.36441,1.05067,4.5468e-05,4.5468e-05,4.5468e-05
44,3150.23,0.58276,0.35589,0.9224,0.9974,0.99686,0.99391,0.85764,0.73625,0.35969,1.05816,4.0122e-05,4.0122e-05,4.0122e-05
45,3218,0.57782,0.34998,0.91986,0.99725,0.99719,0.99393,0.86005,0.73303,0.35654,1.05303,3.4776e-05,3.4776e-05,3.4776e-05
46,3287.54,0.57641,0.34589,0.92082,0.99714,0.9971,0.99389,0.86084,0.74091,0.35719,1.06176,2.943e-05,2.943e-05,2.943e-05
47,3355.19,0.57159,0.34218,0.91841,0.99753,0.99697,0.99384,0.86052,0.73233,0.35103,1.04994,2.4084e-05,2.4084e-05,2.4084e-05
48,3424.65,0.57257,0.33794,0.91678,0.99787,0.99709,0.994,0.8606,0.74064,0.35095,1.05701,1.8738e-05,1.8738e-05,1.8738e-05
49,3492.95,0.57302,0.33894,0.92042,0.99768,0.99686,0.99393,0.86194,0.73336,0.34638,1.05239,1.3392e-05,1.3392e-05,1.3392e-05
50,3562.4,0.56956,0.33634,0.9183,0.99764,0.9971,0.994,0.8601,0.73386,0.3465,1.05341,8.046e-06,8.046e-06,8.046e-06
