epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,428.29,0.87172,0.61953,0.90472,0.85981,0.82895,0.88657,0.66527,0.98136,0.61915,0.99054,0.000138425,0.000138425,0.000138425
43,441.839,0.88298,0.63225,0.9241,0.90975,0.80205,0.88137,0.65746,0.99898,0.63469,0.99781,0.000136119,0.000136119,0.000136119
44,449.079,0.8768,0.61019,0.91142,0.88053,0.81898,0.87721,0.65603,0.98348,0.65045,0.99098,0.000133812,0.000133812,0.000133812
45,456.611,0.87388,0.61966,0.91391,0.89897,0.82246,0.88375,0.66235,0.97287,0.63428,0.98915,0.000131505,0.000131505,0.000131505
46,463.562,0.8666,0.61477,0.90296,0.91256,0.817,0.888,0.66632,0.98675,0.63423,0.98922,0.000129198,0.000129198,0.000129198
47,473.888,0.8662,0.59126,0.9029,0.89555,0.81989,0.88178,0.66004,0.98847,0.63673,0.98966,0.000126892,0.000126892,0.000126892
48,484.443,0.86631,0.60524,0.90617,0.91519,0.81012,0.88931,0.67229,0.98648,0.63339,0.9979,0.000124585,0.000124585,0.000124585
49,493.368,0.86444,0.60876,0.90757,0.87738,0.83765,0.89381,0.67416,0.98014,0.61717,0.98342,0.000122278,0.000122278,0.000122278
50,505.182,0.85177,0.58443,0.8976,0.92077,0.83239,0.9117,0.68016,0.98427,0.60492,0.98012,0.000119972,0.000119972,0.000119972
51,513.679,0.84763,0.58749,0.90466,0.92109,0.83245,0.89534,0.67018,0.98187,0.60261,0.99211,0.000117665,0.000117665,0.000117665
52,520.813,0.83681,0.57847,0.89215,0.9004,0.84226,0.88926,0.66848,0.97126,0.60173,0.98185,0.000115358,0.000115358,0.000115358
53,530.429,0.83885,0.58221,0.89935,0.90363,0.82983,0.87931,0.66009,0.97518,0.61573,0.97992,0.000113052,0.000113052,0.000113052
54,541.809,0.83568,0.58344,0.89751,0.88851,0.83839,0.8879,0.66354,0.9982,0.61266,0.98806,0.000110745,0.000110745,0.000110745
55,548.731,0.83816,0.56788,0.89226,0.90206,0.83403,0.87926,0.66188,0.98738,0.62601,0.9867,0.000108438,0.000108438,0.000108438
56,556.819,0.83121,0.57456,0.89595,0.89579,0.83322,0.89182,0.6716,0.97906,0.59225,0.99019,0.000106131,0.000106131,0.000106131
57,563.834,0.83033,0.56278,0.89121,0.87598,0.82872,0.89198,0.67321,0.97594,0.59732,0.98808,0.000103825,0.000103825,0.000103825
58,571.596,0.82406,0.56133,0.89141,0.86702,0.83089,0.8927,0.67228,0.97329,0.59286,0.98976,0.000101518,0.000101518,0.000101518
59,582.17,0.82485,0.5657,0.89365,0.86639,0.83315,0.89412,0.66787,0.98551,0.59568,0.98447,9.92114e-05,9.92114e-05,9.92114e-05
60,590.022,0.80987,0.55081,0.88752,0.8728,0.84685,0.90092,0.67833,0.96573,0.58323,0.97507,9.69047e-05,9.69047e-05,9.69047e-05
61,597.753,0.80888,0.5572,0.89392,0.86492,0.85256,0.89705,0.67108,0.97671,0.59355,0.98573,9.4598e-05,9.4598e-05,9.4598e-05
62,604.819,0.81077,0.56009,0.88857,0.90665,0.82184,0.88972,0.66505,0.97242,0.59612,0.98235,9.22913e-05,9.22913e-05,9.22913e-05
63,612.444,0.80695,0.5444,0.87884,0.89477,0.84386,0.89235,0.67235,0.97026,0.5886,0.98469,8.99846e-05,8.99846e-05,8.99846e-05
64,620.687,0.8063,0.5511,0.89068,0.86594,0.85254,0.89421,0.67756,0.96942,0.58617,0.98246,8.76779e-05,8.76779e-05,8.76779e-05
65,632.274,0.80703,0.53926,0.8849,0.87927,0.84267,0.89318,0.67024,0.96544,0.57931,0.97989,8.53712e-05,8.53712e-05,8.53712e-05
66,639.31,0.79089,0.54212,0.88456,0.8738,0.84548,0.89701,0.67383,0.9833,0.58724,0.98066,8.30645e-05,8.30645e-05,8.30645e-05
